frac_year,enso3.4,nao,pdo,qbo
1950.04162598,-1.99,0.56,-2.13,-8.99
1950.125,-1.69,0.01,-2.91,-11.37
1950.20837402,-1.42,-0.78,-1.13,-10.63
1950.29162598,-1.54,0.65,-1.2,-8.19
1950.375,-1.75,-0.5,-2.23,-6.09
1950.45837402,-1.27,0.25,-1.77,-6.61
1950.541626,-1.01,-1.23,-2.93,-7.11
1950.625,-0.97,-0.19,-0.7,-6.51
1950.708374,-0.98,0.39,-2.14,-3.82
1950.791626,-1.03,1.43,-1.36,-2.39
1950.875,-1.23,-1.46,-2.46,-2.18
1950.958374,-1.31,-1.03,-0.76,-3.31
1951.04162598,-1.3,-0.42,-1.54,-6.01
1951.125,-1.04,0.35,-1.06,-5.32
1951.20837402,-0.38,-1.47,-1.9,-1.93
1951.29162598,-0.23,-0.38,-0.36,0.91
1951.375,-0.01,-0.5,-0.25,2.26
1951.45837402,0.0,-1.35,-1.09,-0.3
1951.541626,0.3,1.39,0.7,-2.7
1951.625,0.17,-0.41,-1.37,-5.31
1951.708374,0.51,-1.18,-0.08,-5.92
1951.791626,0.49,2.54,-0.32,-4.59
1951.875,0.55,-0.54,-0.28,-3.65
1951.958374,0.31,1.13,-1.68,-3.98
1952.04162598,0.13,0.57,-2.01,-6.8
1952.125,-0.01,-1.38,-0.46,-7.71
1952.20837402,-0.11,-1.97,-0.63,-6.99
1952.29162598,-0.02,0.95,-1.05,-5.68
1952.375,-0.14,-0.99,-1.0,-4.76
1952.45837402,-0.54,-0.1,-1.43,-6.0
1952.541626,-0.76,-0.06,-1.25,-7.6
1952.625,-0.56,-0.49,-0.6,-8.15
1952.708374,-0.36,-0.38,-0.89,-5.73
1952.791626,-0.46,-0.28,-0.35,-2.96
1952.875,-0.78,-1.32,-0.76,-0.51
1952.958374,-0.39,-0.49,0.04,-1.65
1953.04162598,0.2,-0.12,-0.57,-2.94
1953.125,0.24,-1.0,-0.07,-2.68
1953.20837402,0.29,-0.45,-1.12,-1.22
1953.29162598,0.22,-1.96,0.05,1.3
1953.375,0.35,-0.56,0.43,2.69
1953.45837402,0.39,1.41,0.29,1.86
1953.541626,0.14,0.43,0.74,0.1
1953.625,0.09,-1.04,0.05,-1.21
1953.708374,0.29,-0.19,-0.63,-1.28
1953.791626,0.16,1.95,-1.09,-0.39
1953.875,0.18,0.96,-0.03,-0.59
1953.958374,0.41,-0.52,0.07,-2.18
1954.04162598,0.43,-0.08,-1.32,-5.05
1954.125,0.28,0.4,-1.61,-6.88
1954.20837402,-0.38,-1.27,-0.52,-7.98
1954.29162598,-1.17,1.31,-1.33,-9.01
