frac_year,tcwv
2008.0027607103825,7.5
2008.0028176229507,7.0
2008.0028745355191,7.5
2008.00293147541,8.1
2008.0029883879781,7.6
2008.0030453005465,7.5
2008.003102240437,7.5
2008.0031591530055,7.9
2008.0032160655737,8.0
2008.0032730054645,7.8
2008.0033299180327,8.1
2008.0033868306011,8.2
2008.003443770492,8.2
2008.00350068306,8.7
2008.0035575956283,9.1
2008.003614535519,8.9
2008.0036714480875,8.9
2008.0037283606557,8.9
2008.0037853005465,8.2
2008.0038422131147,7.5
2008.0038991256831,7.1
2008.0039560655737,6.6
2008.004012978142,6.1
2008.0040698907103,6.6
2008.004126830601,8.0
2008.0041837431695,8.7
2008.0042406557377,9.7
2008.0042975956285,11.3
2008.0043545081967,12.5
2008.004411420765,13.9
2008.0044683606557,14.9
2008.004525273224,16.2
2008.0045821857923,17.2
2008.004639125683,17.4
2008.0046960382513,17.8
2008.0047529508197,18.1
2008.0048098907105,18.5
2008.0048668032787,18.6
2008.004923715847,18.8
2008.0049806557377,18.6
2008.005037568306,18.9
2008.0050944808743,19.7
2008.005151420765,19.6
2008.0052083333333,19.4
2008.0052652459017,19.3
2008.0053221857922,19.3
2008.0053790983607,19.6
2008.0054929508196,20.4
2008.005549863388,19.6
2008.0056067759563,19.3
2008.005663715847,19.6
2008.0057206284152,19.9
2008.0057775409837,19.5
2008.0058344808742,18.8
2008.0058913934427,18.9
2008.0059483060109,18.8
2008.0060052459016,18.4
2008.00606215847,18.4
2008.0061190710383,18.2
2008.006176010929,17.9
2008.0062329234972,18.1
2008.0062898360657,17.9
2008.0063467759562,17.7
2008.0064036885246,18.0
2008.0064606010928,18.0
2008.0065175409836,17.7
2008.0065744535518,17.8
2008.0066313661202,18.2
2008.006688306011,18.0
2008.0067452185792,17.8
2008.0068021311477,17.8
2008.0068590710382,17.7
2008.0069159836066,17.4
2008.0069728961748,17.2
2008.0070298360656,17.1
2008.0070867486338,16.8
2008.0071436612022,16.9
2008.0072006010928,16.4
2008.0072575136612,15.9
2008.0073144262294,15.3
2008.0073713661202,14.3
2008.0074282786886,14.2
2008.0074851912568,14.7
2008.0075421311476,14.9
2008.0075990437158,14.8
2008.0076559562842,14.7
2008.0077128961748,13.7
2008.0077698087432,13.2
